"Date","Price","Open","High","Low","Vol.","Change %"
"02/05/2021","1,585.25","1,599.95","1,617.95","1,572.00","198.08K","0.18%"
"02/04/2021","1,582.35","1,582.00","1,605.85","1,575.05","156.84K","0.49%"
"02/03/2021","1,574.70","1,614.95","1,627.55","1,572.00","453.46K","-2.25%"
"02/02/2021","1,610.95","1,625.10","1,626.65","1,602.25","278.26K","0.79%"
"02/01/2021","1,598.25","1,649.80","1,664.00","1,590.00","244.61K","-2.75%"
"01/29/2021","1,643.45","1,672.35","1,689.10","1,638.05","114.24K","-1.73%"
"01/28/2021","1,672.35","1,645.00","1,682.00","1,630.00","175.33K","1.25%"
"01/27/2021","1,651.65","1,665.35","1,681.05","1,625.00","182.01K","-0.82%"
"01/25/2021","1,665.35","1,680.00","1,689.95","1,650.00","118.18K","-0.56%"
"01/22/2021","1,674.80","1,688.00","1,698.00","1,663.00","189.37K","-0.32%"
"01/21/2021","1,680.25","1,678.30","1,715.00","1,663.00","215.16K","0.42%"
"01/20/2021","1,673.15","1,649.70","1,690.25","1,649.70","118.56K","1.62%"
"01/19/2021","1,646.40","1,640.80","1,657.00","1,632.05","87.71K","0.49%"
"01/18/2021","1,638.40","1,674.90","1,675.00","1,626.05","116.89K","-2.26%"
"01/15/2021","1,676.25","1,695.00","1,697.95","1,664.90","111.45K","-0.87%"
"01/14/2021","1,690.90","1,699.00","1,730.00","1,675.25","199.85K","0.03%"
"01/13/2021","1,690.45","1,690.00","1,703.95","1,687.30","191.02K","0.23%"
"01/12/2021","1,686.50","1,710.00","1,716.95","1,682.00","162.88K","-1.46%"
"01/11/2021","1,711.50","1,730.00","1,747.65","1,703.00","320.46K","-0.23%"
"01/08/2021","1,715.45","1,762.00","1,762.00","1,706.80","195.95K","-2.00%"
"01/07/2021","1,750.45","1,758.00","1,773.95","1,736.00","242.57K","0.61%"
"01/06/2021","1,739.80","1,773.00","1,782.50","1,710.00","172.47K","-1.61%"
"01/05/2021","1,768.35","1,780.00","1,797.70","1,746.45","183.06K","-0.89%"
"01/04/2021","1,784.30","1,757.00","1,794.70","1,746.90","215.22K","2.06%"
"01/01/2021","1,748.25","1,740.00","1,755.00","1,728.55","76.58K","1.01%"
"12/31/2020","1,730.70","1,764.00","1,764.00","1,715.00","89.35K","-1.45%"
"12/30/2020","1,756.20","1,760.10","1,775.00","1,739.30","163.29K","-0.09%"
"12/29/2020","1,757.70","1,750.00","1,769.90","1,724.00","129.39K","0.77%"
"12/28/2020","1,744.30","1,744.90","1,779.90","1,733.00","355.43K","0.73%"
"12/24/2020","1,731.70","1,678.00","1,742.00","1,678.00","326.93K","3.54%"
"12/23/2020","1,672.45","1,650.95","1,690.00","1,650.95","459.50K","1.35%"
"12/22/2020","1,650.20","1,654.00","1,668.80","1,622.45","157.24K","-0.12%"
"12/21/2020","1,652.10","1,704.00","1,724.00","1,633.25","396.09K","-3.00%"
"12/18/2020","1,703.25","1,717.90","1,724.00","1,691.65","113.44K","-0.59%"
"12/17/2020","1,713.30","1,705.80","1,751.10","1,702.00","268.32K","0.44%"
"12/16/2020","1,705.80","1,711.00","1,730.00","1,696.00","229.65K","-0.18%"
"12/15/2020","1,708.95","1,714.55","1,718.85","1,692.00","391.65K","0.38%"
"12/14/2020","1,702.40","1,678.00","1,710.40","1,663.00","313.10K","2.06%"
"12/11/2020","1,668.00","1,689.20","1,700.00","1,655.00","221.12K","-1.26%"
"12/10/2020","1,689.20","1,695.00","1,713.50","1,650.00","456.22K","0.54%"
"12/09/2020","1,680.15","1,601.10","1,700.00","1,592.75","1.35M","5.39%"
"12/08/2020","1,594.20","1,565.00","1,615.00","1,565.00","365.20K","1.96%"
"12/07/2020","1,563.60","1,560.00","1,594.85","1,551.90","228.56K","-0.16%"
"12/04/2020","1,566.05","1,574.25","1,583.00","1,560.00","156.32K","-0.32%"
"12/03/2020","1,571.15","1,581.00","1,596.75","1,568.00","192.95K","0.22%"
"12/02/2020","1,567.70","1,594.95","1,598.80","1,550.50","277.61K","-1.54%"
"12/01/2020","1,592.25","1,622.00","1,623.95","1,588.00","245.40K","-1.41%"
"11/27/2020","1,614.95","1,618.10","1,643.00","1,608.10","211.02K","0.14%"
"11/26/2020","1,612.70","1,625.00","1,644.90","1,604.85","251.60K","-0.94%"
"11/25/2020","1,628.05","1,629.00","1,656.00","1,601.90","263.73K","0.93%"
"11/24/2020","1,613.00","1,588.00","1,649.00","1,588.00","269.07K","1.64%"
"11/23/2020","1,587.05","1,614.80","1,620.00","1,585.00","260.56K","-1.43%"
"11/20/2020","1,610.05","1,624.00","1,635.00","1,605.00","157.60K","-0.50%"
"11/19/2020","1,618.10","1,635.00","1,653.05","1,605.10","168.20K","-1.29%"
"11/18/2020","1,639.30","1,656.00","1,672.75","1,635.65","177.73K","-0.98%"
"11/17/2020","1,655.45","1,670.00","1,681.60","1,651.00","175.74K","-1.42%"
"11/13/2020","1,679.35","1,667.10","1,689.00","1,652.00","120.76K","1.14%"
"11/12/2020","1,660.45","1,692.00","1,694.00","1,652.00","92.52K","-1.53%"
"11/11/2020","1,686.30","1,672.25","1,693.45","1,655.05","98.13K","1.54%"
"11/10/2020","1,660.65","1,715.00","1,719.00","1,650.00","164.55K","-2.53%"
"11/09/2020","1,703.70","1,743.95","1,747.00","1,695.50","116.97K","-1.42%"
"11/06/2020","1,728.25","1,705.00","1,747.70","1,700.05","249.66K","2.47%"
