"","x"
"639",14
"640",52
"641",3
"642",8
"643",50
"644",2
"645",2
"646",51
"647",9
"648",1
"649",13
"650",68
"651",6
"652",1
"653",9
"654",11
"655",8
"656",99
"657",71
"658",43
"659",8
"660",76
"661",10
"662",23
"663",20
"664",12
"665",3
"666",5
"667",10
"668",0
"669",143
"670",1
"671",2
"672",637
"673",13
"674",1
"675",71
"676",13
"677",0
"678",3
"679",1
"680",71
"681",0
"682",0
"683",2
"684",1
"685",8
"686",1
"687",1
"688",0
"689",20
"690",6
"691",14
"692",54
"693",8
"694",1
"695",0
"696",4
"697",229
"698",14
"699",0
"700",2
"701",5
"702",8
"703",4
"704",2
"705",1
"706",2
"707",60
"708",12
"709",8
"710",6
"711",64
"712",0
"713",0
"714",17
"715",3
"716",26
"717",0
"718",155
"719",9
"720",3
"721",19
"722",32
"723",8
"724",8
"725",13
"726",2
"727",3
"728",7
"729",6
"730",12
"731",1
"732",32
"733",0
"734",0
"735",12
"736",54
"737",1
"738",19
"739",4
"740",0
"741",147
"742",2
"743",1
"744",3
"745",9
"746",1
"747",20
"748",80
"749",8
"750",52
"751",0
"752",4
"753",5
"754",0
"755",2
"756",64
"757",132
"758",34
"759",33
"760",30
"761",45
"762",7
"763",17
"764",6
"765",279
"766",40
"767",12
"768",18
"769",10
"770",17
"771",9
"772",13
"773",0
"774",4
"775",12
"776",39
"777",8
"778",16
"779",224
"780",24
"781",1
"782",3
"783",26
"784",21
"785",11
"786",8
"787",40
"788",22
"789",3
"790",72
"791",5
"792",153
"793",35
"794",1
"795",2
"796",15
"797",9
"798",0
"799",40
"800",6
"801",3
"802",9
"803",3
"804",35
"805",77
"806",20
"807",80
"808",0
"809",149
"810",1
"811",140
"812",11
"813",81
"814",0
"815",44
"816",5
"817",7
"818",0
"819",0
"820",4
"821",3
"822",110
"823",379
"824",0
"825",10
"826",13
"827",83
"828",0
"829",2
"830",17
"831",3
"832",0
"833",20
"834",1
"835",8
"836",18
"837",9
"838",7
"839",10
"840",2
"841",10
"842",19
"843",412
"844",0
"845",6
"846",4
"847",0
"848",10387
"849",61
"850",5
"851",352
"852",117
"853",4
"854",1
"855",30
"856",9
"857",1
"858",90
"859",50
"860",626
"861",6
"862",0
"863",0
"864",237
"865",11
"866",55
"867",156
"868",25
"869",52
"870",10
"871",23
"872",45
"873",60
"874",30
"875",19
"876",37
"877",64
"878",12
"879",7
"880",208
"881",15
"882",103
"883",156
"884",260
"885",36
"886",16
"887",37
"888",59
"889",11
"890",49
"891",94
"892",57
"893",104
"894",121
"895",55
"896",4
"897",15
"898",20
"899",75
"900",151
"901",0
"902",10
"903",0
"904",0
"905",1466
"906",0
"907",0
"908",6
"909",182
"910",302
"911",11
"912",0
"913",2
"914",2
"915",751
"916",126
"917",2876
"918",21115
"919",190
"920",69
"921",73
"922",201604
"923",50100
"924",259579
"925",59
"926",3180
"927",8460
"928",213562
"929",50693
"930",99013
"931",49392
"932",75670
"933",125000
"934",76
"935",24800
"936",51493
"937",24788
"938",71140
"939",198600
"940",182
"941",256
"942",216252
"943",8460
"944",50000
"945",143327
"946",50000
"947",74893
"948",214155
"949",1122
"950",159
"951",75487
"952",72010
"953",25000
"954",24622
"955",74791
"956",213566
"957",4304
"958",50000
"959",1405
"960",72
"961",86920
"962",72
"963",425
"964",213
"965",6
"966",382
"967",149265
"968",106
"969",22586
"970",119
"971",174766
"972",3214
"973",6060
"974",934902
"975",35899
"976",154
"977",26
"978",30100
"979",251
"980",101
"981",120055
"982",91350
"983",1647620
"984",14260
"985",142200
"986",38
"987",190050
"988",203110
"989",35032
"990",7713
"991",69697
"992",63857
"993",24000
"994",385
"995",9500
"996",46741
"997",67233
"998",1919
"999",1132817
"1000",52440
"1001",12009
"1002",210020
"1003",8181
"1004",724
"1005",120000
"1006",481
"1007",43645
"1008",282
"1009",256
"1010",1942
"1011",906619
"1012",22220
"1013",52200
"1014",418
"1015",470
"1016",64
"1017",1189972
"1018",55675
"1019",52495
"1020",248979
"1021",89292
"1022",481
"1023",65964
"1024",317
"1025",127
"1026",210898
"1027",8828
"1028",124586
"1029",143555
"1030",463311
"1031",25755
"1032",25755
"1033",2054
"1034",315731
"1035",226040
"1036",161749
"1037",30000
"1038",265
"1039",41590
"1040",162890
"1041",12868
"1042",39320
"1043",10500
"1044",316830
"1045",1134188
"1046",1343688
"1047",140952
"1048",128940
"1049",30100
"1050",508
"1051",808900
"1052",27720
"1053",21657
"1054",4695
"1055",17858
"1056",4544
"1057",30030
"1058",41
"1059",10971
"1060",63599
"1061",1555224
"1062",180370
"1063",253017
"1064",166600
"1065",8822
"1066",27150
"1067",60060
"1068",10100
"1069",7
"1070",982
"1071",501
"1072",3307
"1073",48743
"1074",30100
"1075",5267
"1076",159
"1077",19507
"1078",64
"1079",266683
"1080",1887
"1081",352040
"1082",14434
"1083",1036
"1084",583
"1085",530
"1086",285
"1087",153685
"1088",1042651
"1089",17155
"1090",60931
"1091",210
"1092",269015
"1093",252
"1094",39530
"1095",231
"1096",36371
"1097",25309
"1098",1683
"1099",288
"1100",182
"1101",567
"1102",301
"1103",50700
"1104",61802
"1105",219316
"1106",26167
"1107",468
"1108",18600
"1109",29425
"1110",432
"1111",29000
"1112",40470
"1113",53475
